Seeded Runs:
Run 1/10
   	      	                       fitness                       	                          size                         
   	      	-----------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std  	avg    	gen	max 	med  	min	nevals	std    
85 	687   	1842.27	85 	26714.4   	1346.48	1339.09	687   	2288.15	1656.51	85 	2364	1651  	1169	687   	183.508
86 	675   	1798.21	86 	36364.3   	1345.92	1339.09	675   	2118.13	1679.43	86 	2454	1671.5	712 	675   	199.608
87 	678   	1820.54	87 	15737.1   	1345.05	1317.97	678   	1911.05	1690.46	87 	2572	1687.5	1070	678   	206.922
88 	677   	1770.15	88 	17748.5   	1344.05	1317.97	677   	1811.95	1685.79	88 	2416	1690.5	983 	677   	192.952
89 	676   	1715.59	89 	41415.2   	1343.26	1317.94	676   	2208.65	1687.31	89 	2411	1707.5	624 	676   	206.395
90 	674   	1815.53	90 	37181.8   	1342.68	1317.94	674   	2461.03	1681.21	90 	2398	1709  	624 	674   	202.148
91 	677   	1778.28	91 	15466.8   	1342.01	1314.65	677   	1865.55	1678.5 	91 	2337	1710  	805 	677   	188.794
92 	685   	1744.58	92 	31391.3   	1341.19	1301.48	685   	2275.92	1680.85	92 	2339	1705.5	735 	685   	186.581
93 	681   	1751.75	93 	20321     	1339.71	1301.48	681   	1886.97	1694.04	93 	2242	1718.5	705 	681   	192.347
94 	685   	1671.74	94 	15502.5   	1337.33	1301.27	685   	1602.47	1722.04	94 	2331	1734.5	936 	685   	184.527
95 	679   	1626.54	95 	32915.7   	1330.53	1301.27	679   	1771.96	1733.37	95 	2331	1744  	650 	679   	180.847
96 	673   	1662.37	96 	36080.1   	1320.98	1301.27	673   	1986.67	1736.19	96 	2331	1747  	13  	673   	180.731
97 	685   	1651.47	97 	15891.2   	1318.6 	1299.15	685   	1598.39	1748.75	97 	2321	1753.5	949 	685   	153.966
98 	679   	1645.52	98 	27905.9   	1317.97	1298.84	679   	1681.06	1761.15	98 	2345	1772  	1135	679   	153.559
99 	684   	1705.95	99 	20819.9   	1317.74	1298.84	684   	1853.49	1769.62	99 	2202	1796.5	1122	684   	170.646
100	679   	1697.9 	100	37189.6   	1315.63	1297.73	679   	2102.48	1789.78	100	2435	1827.5	1120	679   	180.93 
101	682   	1556.7 	101	14065.2   	1308.81	1297.73	682   	1272.67	1818.78	101	2240	1852  	875 	682   	175.372
102	678   	1747.36	102	36565.5   	1304.53	1296.79	678   	2451.18	1843.05	102	2291	1860  	622 	678   	185.782
103	671   	1650.3 	103	20500.3   	1303.08	1295.49	671   	1726.49	1870   	103	2353	1876  	1207	671   	168.496
104	679   	1516.51	104	18363.9   	1302.17	1295.49	679   	1146.36	1879.45	104	2370	1881  	1159	679   	155.493
105	668   	1578.23	105	18491.9   	1301.76	1295.28	668   	1457.21	1882.21	105	2360	1880  	964 	668   	145.16 
106	676   	1692   	106	57139.7   	1301.37	1295.28	676   	2648.32	1875.44	106	2338	1884  	33  	676   	159.698
107	674   	1795.94	107	58108.3   	1300.9 	1295.28	674   	3149.47	1870.96	107	2337	1884  	126 	674   	162.833
108	681   	1628.64	108	21285.2   	1299.73	1294.86	681   	1665.14	1875.58	108	2353	1882  	1219	681   	124.214
109	672   	1591.82	109	16013.7   	1299.27	1292.71	672   	1411.1 	1873.24	109	2364	1881  	610 	672   	136.685
110	678   	1760.23	110	37147.7   	1298.86	1292.71	678   	2338.9 	1876.24	110	2365	1893  	1099	678   	149.885
Run 2/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std    	avg    	gen	max 	med  	min	nevals	std    
0  	690   	50950.8	0  	93151	50905.2	1499.03	690   	14491.3	210.976	0  	1684	138.5	21 	690   	193.131
1  	674   	43274.2	1  	81229.4	44415.9	1499.03	674   	13322.1	238.854	1  	1684	159  	19 	674   	230.734
2  	670   	36563.5	2  	70692.2	38501.9	1498.77	670   	13531.2	262.059	2  	1686	174.5	12 	670   	268.674
3  	673   	29511.9	3  	59235  	32144.8	1498.35	673   	13296.3	306.024	3  	1733	196  	8  	673   	331.853
4  	664   	23232  	4  	52892.3	27747.7	1498.33	664   	13274.8	409.774	4  	1815	259  	7  	664   	415.648
5  	680   	16236.3	5  	57676.9	16325.6	1496.77	680   	12574.4	558.671	5  	1775	372  	7  	680   	512.749
6  	680   	10149.3	6  	51689.4	4387.26	1496.77	680   	10502.7	764.261	6  	1932	522.5	7  	680   	590.409
7  	673   	5326.89	7  	51311.4	3486.04	1496.77	673   	6626.07	1044.52	7  	1982	1026.5	7  	673   	587.237
8  	682   	3250.5 	8  	36679.2	2030.17	1496.54	682   	3438.82	1309.33	8  	2063	1573.5	180	682   	497.645
9  	678   	2263.96	9  	20884.5	1500.45	1496.25	678   	2000.74	1515.61	9  	2063	1641.5	310	678   	334.626
10 	674   	2008.04	10 	27131.5	1499.13	1462.81	674   	2003.91	1599.52	10 	2106	1655  	153	674   	230.593
11 	676   	2078.76	11 	36416.9	1498.84	1458.6 	676   	2714.79	1613.25	11 	2129	1647.5	565	676   	192.221
12 	671   	2016.64	12 	20608.8	1498.57	1458.57	671   	2163.82	1602.72	12 	2082	1633  	649	671   	198.278
13 	669   	1872.36	13 	15590.5	1498   	1458.56	669   	1740.52	1598.66	13 	2143	1606  	1010	669   	201.21 
14 	676   	2039.45	14 	37276.5	1497.5 	1457.35	676   	2564.28	1588.52	14 	2219	1584  	816 	676   	215.774
15 	671   	1844.61	15 	15591  	1496.89	1456.13	671   	1604.05	1591.49	15 	2218	1575  	663 	671   	213.542
16 	675   	1899.09	16 	14938.6	1496.7 	1455.61	675   	1681.03	1597.57	16 	2297	1578  	746 	675   	214.089
17 	673   	1808   	17 	16865.1	1495.45	1455.61	673   	1471.46	1642.18	17 	2215	1658.5	998 	673   	209.991
18 	681   	1927.59	18 	31770.6	1469.92	1455.53	681   	2271.37	1691.94	18 	2225	1721  	731 	681   	204.993
19 	675   	2009.07	19 	37235.5	1463.29	1455.53	675   	2401.42	1723.12	19 	2256	1742  	1052	675   	176.193
