"C:\Users\WhizKid2004\PycharmProjects\4P82 A2\venv\Scripts\python.exe" "C:\Users\WhizKid2004\PycharmProjects\4P82 A2\islandExperiment\seededRuns.py" 
Unseeded Runs:
Run 1/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	med    	min    	nevals	std    	avg    	gen	max 	med	min	nevals	std    
72 	684   	4348.66	72 	38407      	3004.62	2931.68	684   	3840.84    	430.58 	72 	920 	466.5	52 	684   	157.536
73 	672   	4507.58	73 	38264      	2999.7 	2919.03	672   	4288.49    	435.393	73 	892 	473.5	53 	672   	158.034
74 	682   	4499.65	74 	38384.2    	2978.94	2918.79	682   	4636.18    	437.19 	74 	808 	473  	43 	682   	162.597
75 	679   	4372.78	75 	35184.5    	2976.53	2918.25	679   	3970.91    	447.43 	75 	830 	480  	52 	679   	161.98 
76 	673   	4587.39	76 	38246.7    	2967.61	2918.23	673   	4396.9     	449.909	76 	907 	477.5	62 	673   	169.082
77 	682   	4374.48	77 	47561.8    	2967.02	2918.23	682   	3969.32    	456.874	77 	907 	468  	87 	682   	164.913
78 	682   	4308.82	78 	59373.9    	2966.97	2917.52	682   	4211.24    	448.307	78 	912 	450.5	12 	682   	167.13 
79 	679   	4301.15	79 	38374.7    	2959.36	2885.39	679   	3952.32    	439.551	79 	912 	431.5	53 	679   	169.457
80 	674   	4452.63	80 	48090.5    	2957.92	2878.75	674   	4613.45    	434.277	80 	929 	416  	13 	674   	162.986
81 	690   	4094.86	81 	37712.2    	2957.79	2878.75	690   	3255.29    	417.606	81 	1061	387.5	65 	690   	160.88 
82 	682   	4256.65	82 	38172.4    	2944.67	2832.18	682   	4146.86    	404.387	82 	1117	373.5	64 	682   	149.986
83 	671   	4332.17	83 	39406.3    	2938.32	2832.18	671   	4010.49    	398.757	83 	855 	377  	54 	671   	144.708
84 	681   	4546.65	84 	47922      	2934.32	2832.18	681   	4818.66    	410.441	84 	879 	396.5	53 	681   	143.898
85 	687   	4360.51	85 	68999.5    	2931.69	2779.2 	687   	4570.94    	419.213	85 	937 	414  	72 	687   	136.088
86 	678   	4487.74	86 	39922.4    	2931.08	2779.2 	678   	4313.35    	434.287	86 	937 	420.5	65 	678   	146.814
87 	670   	4400.45	87 	67515      	2922.13	2776.65	670   	4726.25    	449.424	87 	1009	440.5	54 	670   	161.281
88 	669   	4558.59	88 	53617.2    	2917.21	2776.65	669   	4820.59    	471.507	88 	1054	462.5	41 	669   	174.667
89 	675   	4154.04	89 	33273.6    	2906.17	2542.92	675   	3396.97    	507.07 	89 	1245	486.5	49 	675   	191.417
90 	673   	4030.77	90 	52095.6    	2885.62	2542.92	673   	3968.9     	554.974	90 	1207	517  	43 	673   	209.851
91 	677   	4114.78	91 	38296.1    	2878.76	2542.91	677   	3860.07    	597.19 	91 	1236	536.5	71 	677   	235.885
92 	680   	3662.6 	92 	36876.5    	2832.18	2542.88	680   	2906.25    	680.046	92 	1270	609.5	29 	680   	259.514
93 	675   	3702.54	93 	35209.6    	2783.21	2404.41	675   	3279.24    	778.447	93 	1343	876  	73 	675   	262.265
94 	674   	3573.92	94 	37091.3    	2778.9 	2404.41	674   	3239.24    	880.241	94 	1428	929  	150	674   	229.292
95 	677   	3528.36	95 	57327.7    	2776.65	2199.99	677   	3931.73    	941.194	95 	1487	952.5	17 	677   	193.976
96 	675   	3296.76	96 	39887.1    	2776.65	2199.99	675   	3096.72    	976.359	96 	1634	974.5	19 	675   	174.366
97 	685   	3220.34	97 	37922.3    	2542.92	2199.28	685   	2894.57    	1001.7 	97 	1632	996  	97 	685   	152.768
98 	679   	3087.76	98 	20990.4    	2542.92	2198.56	679   	2132.67    	1012.31	98 	1632	1025 	441	679   	144.142
99 	674   	3114.49	99 	57536.1    	2542.85	2198.32	674   	3077.53    	1032.98	99 	1500	1055 	217	674   	142.539
100	678   	3160.69	100	26539.3    	2537.42	2151.28	678   	2799.92    	1064.13	100	1507	1085 	431	678   	152.58 
101	678   	2902.96	101	16855.7    	2404.41	2151.28	678   	1923.43    	1099.35	101	1510	1112.5	395	678   	144.066
102	683   	2829.02	102	21757.8    	2403.42	2151.28	683   	2067.4     	1125.63	102	1531	1135.5	568	683   	143.394
103	679   	2778.98	103	25085.8    	2402.11	2140.3 	679   	2024.82    	1140.8 	103	1669	1144  	529	679   	149.643
104	678   	2712.3 	104	25080.4    	2368.99	2140.3 	678   	2022.18    	1148.66	104	1624	1147  	595	678   	147.739
105	671   	2812.05	105	55306.2    	2199.58	2114.03	671   	3245.7     	1148.14	105	1560	1157.5	57 	671   	172.423
106	679   	2868.19	106	37454.4    	2198.75	2114.03	679   	2861.29    	1142.54	106	1561	1160  	198	679   	184.131
107	679   	2656.56	107	32416.3    	2198.27	2108.53	679   	2196.61    	1123.54	107	1696	1148.5	485	679   	189.436
108	679   	2656.49	108	33548.4    	2197.68	2103.59	679   	2294.49    	1078.84	108	1607	1088.5	380	679   	202.714
109	678   	2818.7 	109	25941.8    	2151.28	2103.47	678   	2670.21    	1040.67	109	1612	1029.5	458	678   	195.961
110	671   	3044.2 	110	62852.5    	2146.51	2102.85	671   	4130.06    	1017.87	110	1623	997   	59 	671   	192.581
